frame,x,y,score
1873,402.0,518.0,0.485
1874,400.0,518.0,0.4449
1875,398.0,518.0,0.4484
1876,396.0,518.0,0.4528
1877,394.0,516.0,0.4631
1878,392.0,514.0,0.4876
1879,390.0,512.0,0.4945
1880,390.0,512.0,0.5141
1881,388.0,512.0,0.4888
1882,384.0,512.0,0.3819
1883,382.0,512.0,0.4159
1884,380.0,512.0,0.3615
1885,378.0,508.0,0.2977
1885,378.0,512.0,0.3003
1886,376.0,508.0,0.2931
1886,376.0,512.0,0.266
1887,374.0,506.0,0.3116
1888,372.0,506.0,0.3301
1889,370.0,506.0,0.2313
1890,368.0,506.0,0.2776
1891,368.0,502.0,0.3448
1892,364.0,504.0,0.2948
1893,360.0,504.0,0.2417
1894,360.0,502.0,0.2432
1895,358.0,500.0,0.2976
1896,356.0,498.0,0.2952
1897,356.0,498.0,0.2724
1898,350.0,498.0,0.2767
1899,350.0,496.0,0.3552
1900,346.0,496.0,0.4538
1901,346.0,494.0,0.4636
1902,344.0,494.0,0.4887
1903,342.0,494.0,0.4658
1904,340.0,492.0,0.4516
1905,338.0,492.0,0.4342
1906,336.0,492.0,0.4457
1907,334.0,490.0,0.4614
1908,332.0,490.0,0.4867
1909,330.0,490.0,0.461
1910,328.0,488.0,0.4663
1911,326.0,486.0,0.467
1912,324.0,486.0,0.5222
1913,322.0,486.0,0.4955
1914,318.0,486.0,0.4516
1915,316.0,484.0,0.4165
1916,314.0,482.0,0.4462
1917,312.0,482.0,0.4748
1918,312.0,480.0,0.4975
1919,310.0,480.0,0.4805
1920,308.0,480.0,0.4486
1921,306.0,478.0,0.4227
1922,302.0,478.0,0.4483
1923,300.0,476.0,0.4487
1924,300.0,476.0,0.4698
1925,296.0,476.0,0.4464
1926,296.0,474.0,0.4579
1927,294.0,474.0,0.4429
1928,292.0,472.0,0.4825
1929,288.0,472.0,0.4477
1930,286.0,470.0,0.4623
1931,284.0,470.0,0.4287
1932,282.0,470.0,0.4366
1933,280.0,468.0,0.4421
1934,278.0,468.0,0.4457
1935,278.0,466.0,0.5012
1936,276.0,466.0,0.4702
1937,274.0,464.0,0.4098
1938,270.0,464.0,0.4409
1939,268.0,464.0,0.4786
1940,268.0,462.0,0.459
1941,266.0,462.0,0.4259
1942,264.0,460.0,0.3776
1943,262.0,460.0,0.3472
1944,260.0,460.0,0.3526
1945,258.0,458.0,0.4133
1946,256.0,456.0,0.4383
1947,252.0,456.0,0.4859
1948,250.0,456.0,0.4841
1949,248.0,454.0,0.4803
1950,246.0,452.0,0.4738
1951,244.0,452.0,0.4945
1952,244.0,452.0,0.4778
1953,242.0,450.0,0.4459
1954,240.0,450.0,0.4089
1955,236.0,450.0,0.496
1956,234.0,448.0,0.4875
1957,232.0,448.0,0.4401
1958,230.0,448.0,0.345
1959,228.0,446.0,0.3595
1959,986.0,882.0,0.2112
1960,226.0,444.0,0.3361
1961,224.0,444.0,0.3953
1962,222.0,442.0,0.4647
1963,220.0,442.0,0.49
1964,218.0,440.0,0.4684
1965,216.0,440.0,0.4639
1966,214.0,440.0,0.4557
1967,212.0,438.0,0.4875
1968,210.0,438.0,0.4979
1969,208.0,438.0,0.422
1970,206.0,438.0,0.4172
1971,204.0,436.0,0.3927
1972,202.0,434.0,0.4676
1973,200.0,434.0,0.4737
1974,200.0,434.0,0.4831
1975,198.0,432.0,0.4024
1976,196.0,430.0,0.4113
1977,194.0,430.0,0.4344
1978,192.0,430.0,0.4424
1979,188.0,428.0,0.4264
1980,186.0,428.0,0.4631
1981,184.0,426.0,0.4715
1982,182.0,426.0,0.4084
1983,180.0,424.0,0.4413
1984,178.0,424.0,0.4721
1985,176.0,424.0,0.4249
1986,176.0,424.0,0.4248
1987,172.0,422.0,0.417
